jobid,submit,start,end,nnodes,duration,max_memory,randomness
341,170565728,170565729,170565787,1,58,120,0.4400047186704775
342,170565749,170565749,170565773,2,24,23,0.18620629695503743
343,170565749,170565750,170565774,2,24,22,0.1068525959339015
344,170565750,170565750,170565778,2,27,26,0.2320128111997678
345,170565751,170565751,170565777,2,26,24,0.8897806560398709
346,170565752,170565752,170565777,2,25,24,0.2458624825121909
347,170565768,170565770,170565785,1,15,19,0.05362754369586198
348,170565789,170565789,170565865,5,76,28,0.43900258471715947
349,170565790,170565790,170570821,1,5030,49,0.11700353683316833
350,170565790,170565790,170565816,2,25,22,0.05609613763341048
351,170565790,170565790,170565815,2,24,23,0.8720963794740758
352,170565791,170565791,170565815,2,24,23,0.4114457867896757
353,170565792,170565792,170565847,2,55,24,0.2118826068327917
354,170565793,170565793,170565822,2,29,24,0.8031764347261459
355,170565806,170568493,170568505,1,11,85,0.08879058360620717
356,170565806,170568507,170568515,1,7,85,0.11326748292621347
357,170565806,170568507,170568517,1,10,86,0.3221769713811814
358,170565806,170568507,170568517,1,9,63,0.07780992299156675
359,170565806,170568521,170568529,1,8,16,0.1661170059856123
360,170565806,170568521,170568529,1,8,86,0.1356027930535656
361,170565806,170568521,170568531,1,9,57,0.23400662023900987
362,170565806,170568534,170568544,1,10,30,0.3425888061395451
363,170565806,170568534,170568543,1,8,65,0.14323044699611276
364,170565806,170568534,170568542,1,8,38,0.1338343345864621
365,170565806,170568547,170568556,1,8,30,0.45220041859940774
366,170565806,170568547,170568556,1,8,16,0.699369895178369
367,170565806,170568547,170568556,1,8,29,0.10270717720067712
368,170565806,170568547,170568557,1,9,17,0.5841554966517692
369,170565806,170568560,170568568,1,8,24,0.26502638449751303
370,170565806,170568560,170568568,1,8,16,0.5174002899463586
371,170565806,170568560,170568568,1,8,17,0.6070192242665037
372,170565806,170568573,170568581,1,8,24,0.4843683018409267
373,170565806,170568560,170568568,1,8,17,0.4039357958048643
374,170565806,170568573,170568581,1,8,17,0.060761485593939124
375,170565806,170568573,170568583,1,9,65,0.22193892709812968
376,170565806,170568573,170568583,1,9,17,0.708636867078333
377,170565806,170568573,170568581,1,7,18,0.8935472750326217
378,170565806,170568573,170568583,1,9,18,0.347004773628835
379,170565806,170568573,170568581,1,7,17,0.30669454106605754
380,170565806,170568573,170568583,1,9,67,0.0448414317729795
381,170565806,170568573,170568583,1,9,17,0.5500219383524295
382,170565807,170568573,170568583,1,9,65,0.6716091783948022
383,170565807,170568586,170568594,1,8,24,0.657693312799791
384,170565807,170568586,170568594,1,8,17,0.8218384624037243
385,170565807,170568586,170568594,1,8,36,0.5743740509602036
386,170565807,170568586,170568594,1,7,17,0.08183369540997654
387,170565807,170568586,170568594,1,8,18,0.893809829040873
388,170565807,170568599,170568607,1,8,24,0.9511030160083183
389,170565807,170568586,170568594,1,7,18,0.30868388517915357
390,170565807,170568586,170568594,1,7,17,0.36329149972271224
391,170565807,170568586,170568594,1,7,66,0.3360236044474981
392,170565807,170568586,170568594,1,7,41,0.49578084291855706
393,170565807,170568599,170568607,1,8,17,0.258820450348373
394,170565807,170568599,170568607,1,8,17,0.8017509320176998
395,170565807,170568599,170568607,1,8,18,0.07233131457943798
396,170565807,170568599,170568607,1,8,18,0.5278311951038832
397,170565807,170568599,170568607,1,8,17,0.7200034501398269
398,170565807,170568599,170568609,1,10,17,0.42193569411243537
399,170565807,170568599,170568607,1,8,19,0.4079363236048492
400,170565807,170568599,170568609,1,10,18,0.05011128188903324
401,170565807,170568599,170568609,1,10,18,0.5383727723122421
402,170565807,170568612,170568620,1,8,24,0.20010310289874134
403,170565807,170568612,170568620,1,8,16,0.7451259099685968
404,170565807,170568612,170568621,1,8,17,0.24223777166115168
405,170565807,170568612,170568620,1,8,17,0.7631277723839731
406,170565807,170568612,170568621,1,9,33,0.28540010438019126
407,170565807,170568612,170568620,1,8,17,0.20631370079599354
408,170565807,170568624,170568639,1,14,19,0.6322476990359691
409,170565807,170568612,170568620,1,8,16,0.7536217921297199
410,170565807,170568612,170568620,1,8,17,0.10498814202446227
411,170565807,170568612,170568621,1,9,18,0.9937832598275178
412,170565807,170568612,170568620,1,8,19,0.138108789032931
413,170565807,170568612,170568621,1,9,18,0.17754515197009368
414,170565807,170568624,170568639,1,14,25,0.12827729673316768
415,170565808,170568624,170568639,1,14,18,0.3359252470997608
416,170565808,170568624,170568639,1,14,18,0.47034427174485505
417,170565808,170568624,170568639,1,14,19,0.09359607078050569
418,170565808,170568624,170568639,1,14,32,0.6951803561088841
419,170565808,170568624,170568639,1,14,18,0.6802292643809563
420,170565810,170565810,170567588,8,1777,95,0.3257671988158082
421,170565814,170565814,170565828,1,14,19,0.4676405425098621
422,170565828,170565828,170565831,1,3,18,0.25867551964044455
423,170565830,170565831,170565861,2,30,23,0.6262321943516763
424,170565831,170565832,170565868,2,36,23,0.3564395891081382
425,170565832,170565832,170565869,2,37,24,0.06976512076491925
426,170565833,170565833,170565867,2,34,22,0.5167328810688202
427,170565833,170565833,170565868,2,34,24,0.180153108716392
428,170565872,170565872,170565905,2,33,22,0.9726978449560022
429,170565873,170565873,170565904,2,30,23,0.45524416513202737
430,170565874,170565874,170565906,2,31,23,0.4015741365476354
431,170565875,170565875,170565888,1,13,36,0.42832374821169594
432,170565875,170565875,170565894,2,19,24,0.8689337287959451
433,170565876,170565876,170565897,2,20,24,0.7503113927727001
434,170565881,170565882,170566003,1,120,132,0.017485840710583456
435,170565884,170565885,170566248,1,362,27,0.16480215410057897
436,170565890,170565890,170565905,1,14,18,0.06051260555254023
437,170565902,170565902,170565913,1,11,20,0.1919051935179409
438,170565906,170565907,170574549,1,8642,29,0.24009976450784054
439,170565909,170565909,170566318,1,409,25,0.17908087139102657
440,170565909,170565909,170566318,1,409,26,0.8436642239755998
441,170565915,170565915,170565945,2,30,24,0.8163248189868504
442,170565916,170565916,170565934,2,17,69,0.9520677750855104
443,170565916,170569935,170570997,256,1061,480,0.8789479128562913
444,170565917,170570176,170571230,256,1053,176,0.29586253206185464
445,170565917,170570999,170572061,256,1062,479,0.15183749484199294
446,170565917,170571232,170572288,256,1056,176,0.26035598186573894
