jobid,submit,start,end,nnodes,duration,memory
2961175,166030056,166030056,166032157,1,2101,77
2961279,166030221,166030221,166030615,1,394,447
2961282,166030233,166030233,166030637,1,404,449
2961284,166030166,166030166,166031182,1,1016,77
2961288,166031492,166031492,166033323,16,1830,468
2961289,166031493,166031493,166033321,16,1827,469
2961290,166031719,166031719,166033161,1,1441,109
2961291,166030247,166030247,166030629,1,382,448
2961293,166030274,166030274,166030658,1,384,443
2961299,166030303,166030303,166030712,1,408,443
2961312,166030481,166030481,166034487,1,4005,40
2961313,166030309,166030309,166030716,1,406,448
2961316,166030389,166030389,166030953,2,564,77
2961317,166030440,166030440,166030988,2,547,79
2961320,166030381,166030381,166030759,1,378,446
2961322,166030392,166030392,166030773,1,380,445
2961326,166031492,166031492,166035795,4,4302,33
2961330,166030495,166030495,166034819,1,4323,41
2961333,166031478,166031478,166033294,3,1815,36
2961343,166030447,166030447,166030846,1,398,445
2961350,166030448,166030448,166030998,2,550,79
2961351,166030466,166030466,166030859,1,392,446
2961352,166031493,166031493,166033320,5,1827,158
2961360,166031493,166031493,166034759,5,3265,155
2961361,166031493,166031493,166034253,4,2760,282
2961362,166031493,166031493,166034217,4,2724,281
2961365,166030727,166030727,166031282,2,555,78
2961366,166030447,166030447,166032609,1,2162,87
2961369,166030489,166030489,166030893,1,403,447
2961378,166030814,166030814,166031357,2,543,78
2961379,166030629,166030629,166031017,1,388,445
2961382,166030727,166030727,166035052,1,4324,43
2961386,166030637,166030637,166031037,1,400,447
2961389,166030747,166030747,166035069,1,4322,39
2961403,166031441,166031441,166035762,1,4321,36
2961423,166031675,166031675,166032074,64,398,50
2961481,166030716,166030716,166031090,1,373,446
2961485,166030731,166030731,166031124,1,393,445
2961486,166030640,166030640,166032800,1,2160,87
2961501,166032725,166032725,166037050,1,4324,382
2961503,166033120,166033120,166037445,1,4325,385
2961511,166030704,166030704,166031068,1,364,34
2961522,166030784,166030784,166031170,1,386,447
2961524,166033425,166033425,166035363,1,1938,152
2961528,166030954,166030954,166031498,2,544,78
2961531,166030794,166030794,166031171,1,377,446
2961537,166031532,166031532,166035857,1,4324,40
2961546,166033234,166033234,166037567,1,4327,451
2961556,166030846,166030846,166031271,1,424,442
2961558,166031014,166031014,166031566,2,551,77
2961559,166030853,166030853,166031243,1,390,446
2961560,166031282,166031282,166031842,2,559,77
2961579,166030886,166030886,166031306,1,419,443
2961581,166030891,166030891,166031279,1,388,447
2961587,166031536,166031536,166033987,1,2451,67
2961597,166030920,166030920,166031323,1,403,443
2961601,166030936,166030936,166031340,1,403,445
2961604,166030924,166030924,166033085,1,2161,38
2961606,166030989,166030989,166031366,1,377,444
2961609,166030944,166030944,166033106,1,2162,37
2961613,166030998,166030998,166031390,1,392,447
